,eb0d,Aaron,Arão
  ,ecea,Nympha              ,Ninfa
,ea56,Obed,Obede
,e04e,obedience,obediência
,e04e,obey,obedecer
,e14d,ocean,oceano
,e03a,offering,oferta
,e030,oil,óleo
,e189,old,velho
,eda1,olive,oliva
,ebcb,Olympus,Olimpo
,e113,on,em
,e113,on_top_of,por_cima
,e28c,one,um
,ecb8,Onesimus,Onésimo
,ecb8,Onesiphorus,Onesíforo
,e223,only,só
,e18a,open,aberto
,e330,oppose,opor
,e106,or,ou
,ebe7,order,ordem
,e184,other,outro
,e241,out,for_a
,e241,outside,lá_for_a
,e110,over,sobre
,ea49,owe,dever
,eced,own,próprio
,ea85,ox,boi
,e24f,pain,dor
,eb6e,Pamphylia,Panfília
,eb9f,Paphos,Pafos
,e22d,parable,parábolas
,e131,paralyze,paralisar
,eb57,Parmenas,Pármenas
,e29b,part ,parte
,eb0a,Parthia             ,Partos
,e20b,party,festa
,e10b,pass,passar
,ebac,passion,paixão
,e20d,Passover,Páscoa
,e16d,past,passado
,ecc3,pastor,pastor
,ec23,Patara,Pátara
,e23c,path,caminho
,e16f,patience,paciência
,e16f,patient,paciente
,ebf4,Patmos,Patmos
,ebcc,Patrobas,Pátrobas
,ecf0,pattern,padrão
,e377,Paul,Paulo
,ebad,pavement,calçada
,e123,peace,paz
,ec71,Peleg,Pelegue
,e29c,pen,caneta
,ec81,pentecost,pentecostes
,ec81,Pentecost,Pentecostes
,e127,people,pessoas
,e06a,perceive,perceber
,ea4c,Perez,Perez
,ecec,perfect,perfeito
,e097,perfume,perfume
,eb47,Perga,Perge
,ebf6,Pergamum            ,Pérgamo
,e04a,permission,permissão
,e04a,permit,permitir
,e03e,persecute,perseguir
,e03e,persecution,perseguição
,ebce,Persis,Pérside
,e11f,person,pessoa
  ,ec3c,Phanuel,Fanuel
,ec94,Pharaoh,Faraó
,e383,Pharisee,Fariseu
,ebf8,Philadelphia,Filadélfia
,ecf2,Philemon,Filemom
,ecac,Philetus,Fileto
,e361,Philip ,Filipe
,e347,Philippi,Filipos
,ebcf,Philologus,Filólogo
,ec04,philosopher,filósofo
,ebd1,Phlegon,Flegonte
,ebd2,Phoebe,Febe
,e343,Phoenicia,Fenícia
,ec29,Phoenix,Fenice
,eb76,Phrygia,Frígia
,ecb9,Phygelus,Fígelo
,e30a,pig,porco
,e0b6,pigeon,pomba
,e36f,Pilate,Pilatos
,eca8,pillar,pilar
,e26c,pillow,travesseiro
,eb97,Pisidia,Písida
,e06b,plan,plano
,e244,plant,plantar
,e386,plate,prato
,e386,platter,escudela
,ec72,plow,arado
,eb75,Pontus,Ponto
,ea3a,poor,pobre
,eb5e,porch,pórtico
,ec38,Porcius,Pórcio
,e098,possible,possível
,e0d6,pour,derramar
,e124,power,poder
,e04b,praise,louvor
,e05e,pray,orar
,e05e,prayer,oração
,e04d,preach,pregar
,e134,preacher,pregador
,e04d,preaching,pegação
,ea37,precious,precioso
,e0a5,pregnant,grávido
,e091,prepare,preparar
 ,e228,press,pressão
,e094,pretend,fingir
,eb14,prevail,prevalecer
,e14b,pride,orgulho
,e03b,priest,sacerdote
,eb61,prince,principe
,ebe7,priority,prioridade
,eb18,Priscilla,Priscila
,e172,prison ,cárcere
,e145,prisoner,preso
,eb53,Prochorus,Prócoro
,e0a3,proconsul,procônsul
,e035,profit,lucro
,e37a,promise,pormessa
,e23b,prophesy,profetizar
,e135,prophet,profeta
,ecfc,prostitute,prostituta
,e14b,proud,orgulhoso
,ec73,proverb,provérbio
,e0e2,Psalm,salmo
,ec08,Ptolemais,Ptolemaida
,ec1a,Publius,Públio
,ecba,Pudens,Prudente
,e248,pure,puro
,e286,purple,púpura
,e066,purpose,propósito
,e07e,put,pôr
,e07e,Put,Pôr
,ec1e,Puteoli,Putéoli
,eb1c,Pyrrhus,Pirro
,ebd3,Quartus,Quarto
,eb15,queen,rainha
,e061,questioned,questionado
,e185,quiet,quieto
,ec3b,Quirinius,Quirino
,ea41,Rachel,Raquel
,ea55,Rahab,Raabe
,ea3e,rain,chuva
,ecdc,rainbow,arco_Iris
,ea50,Ram,Rão
,ea42,Ramah,Ramá
,e22a,read,ler
,e066,reason,razão
,ebd4,Rebekah,Rebeca
,e193,rebellion,rebelião
,e060,rebuke,repreender
,e1a3,receive,receber
,ebc0,reckon,calcular
,e026,reconcile,conciliar
,e287,red,vermelho
,e02c,redeem,redimir
,e02c,redemption,rendenção
,ea26,reed,junco
,ea5a,Rehoboam,Roboão
,e193,reject,rejeitar
,e176,relative,relativo
,ec33,religion,religião
,e83b,remain,permanecer
,e0d8,remember,lembrar
,e049,repeat,repetir
,e320,repent,Arrepender-se
,e320,repentance,arrependimento
,e22d,report,informe
,e214,rescue,resgatar
,e121,rest,descansar
,e237,result,resultado
,e329,resurrect,ressucitar
,e329,resurrection,ressurreição
,ec74,Reu,Reú
,ecc0,Reuben,Rúben
,e162,reveal,revelar
,ed0c,revenge,vingança
,e055,revile,insultar
,e02d,reward,recompensa
,ec1d,Rhegium,Régio
,ec75,Rhesa,Resa
,eb92,Rhoda,Rode
,eb25,Rhodes,Rodes
,e0f3,right,reto
,ed10,right_time,tempo_certo
,e090,righteous ,justo
,e130,righteous_person,pessoa_justa
,e090,righteousness,justiça
,ebdf,ring,anel
,e236,ripe ,maduro
,e154,ripen,amadurecer
,e30b,river,rio
,e23c,road,estrada
,e0e9,robber,ladrão
,e26a,rock,rocha
,eb16,Rome,Roma
,eb06,room,quarto
,e25d,rooster,galo
,e15c,root,raiz
,ec99,rough,rude
,e36e,Rufus,Rufo
,e028,ruler,régua
,e258,run,corre
,ea57,Ruth,Rute
,e160,Sabbath             ,sábado
,e0b5,sacrifice,sacrifício
,e207,sad,triste
,ea03,Sadducee,Saduceus
,e03f,said,disse
,e267,sail,vela
,e130,saint,santo
,ebe1,Salamis,Salamina
,ec76,Salathiel,Salatiel
,ebae,Salim,Salim
,ea53,Salmon,Salmom
,ec15,Salmone,Salmona
,e379,Salome,Salomé
,e046,salt,sal
,eb80,salvation,salvação
,ea83,Samaria,Samaria
,ea7b,Samaritan,Samaritana
,e24b,same,mesmo
,ec25,Samos,Samos
,eb4c,Samothrace,Samotrácia
,ed06,Samson,Sansão
,eb8e,Samuel,Samuel
,eb01,sanctuary,santuário
,ecfd,sand,areia
,eb66,Sapphira,Safira
,ebd5,Sarah,Sara
,ebf7,Sardis,Sardes
,e335,Satan,Satanás
,eb54,Saul,Saul
,e214,save,salvar
,ec85,savior,salvador
,ea34,scatter,dispersar
,eb19,Sceva,Ceva
,ec77,scorpion,escorpião
,e12c,scribe,escriba
,e22c,Scripture ,Escritura
,eceb,Scythia,Cita
,e14d,sea,mar
,e350,Sea_of_Galilee,Mar_da_Galileia
,eb0c,Sea_of_Reeds        ,Mar_de_Vermelho
,ebaf,Sea_of_Tiberias,Tiberíades
,e221,seal,selo
,e221,sealed,selado
,e074,search,procurar
,e186,secret,secredo
,ec33,sect,seita
,eb1d,Secundus,Secundo
,e238,see,ver
,e27a,seed,semear
,eb42,Seleucia,Selêucia
,ea95,self,mesmo
,e32b,sell,vender
,ec9e,Semien,Not_found
,e075,send,enviar
,e239,sensuality,sensualidade
,e326,separate,separar
,eb45,Sergius,Sérgio
,ec78,Serug,Serugue
,e12d,servant,servo
,e08e,serve,servir
,ec79,Seth,Sete
,e292,seven,sete
,e077,sew,costurar
,ea87,sex,sexo
 ,e239,sexual_desire,desjo_sexual
,e079,shade,sombra
,e27d,shake,agitar
,e065,shame,vergonha
,e07a,share,compartilhar
,ec2b,Sharon,Sarom
,ebf3,sharp,afiado
,eb27,shave,barbear
,ea68,Shealtiel,Sealtiel
,ec95,Shechem_city        ,Siquém
,e270,sheep,ovelha
,ec7a,Shelah,Selá
,ec7b,Shem,Sem
,e0c9,Sheol,Inferno
,e271,shepherd,pastor
,e388,shield,escudo
,e12e,shoe,sapato
,e149,shout,gritar
,e162,show,mostrar
,e20a,sick,doente
,e10d,side,lado
,e33c,Sidon_city          ,Sidom
,e047,sigh,suspiro
,e0a9,sign,sinal
,eb41,Silas,Silas
,e185,silence,silêncio
,ebb1,Siloam_city         ,Siloé
,eca9,Silvanus,Silvano
,eb2b,silver,prata
,ea47,Simeon,Simeão
,ea47,Simon,Simão
,ea92,Simon_Jesus_Brother ,Simão_irmão_de_Jesus
,e37c,Simon_of_Cyrene,Simão_de_Cirene
,e356,Simon_Peter,Simão_Pedro
,e364,Simon_the_Canaanite,Simão_o_Zelote
,e0f8,Simon_the_Leper,Simão_o_Leproso
,e08f,sin,pecado
,e08f,sinful,pecaminoso
,e0e2,sing,cantar
,e151,sinner,pecador
,e00e,sister,irmã
,e00f,sisters,irmãs
,e298,sit,sentar
,e291,six,seis
,e20f,skull,crânio
,ec8b,sky,céu
,e10e,slave,escravo
,e121,sleep,dormir
,e19c,slow,lento
,e19c,slow,lento
,e19b,small,pequeno
,e32e,smaller,menor
,e397,smallest,diminuto
,e309,smell,cheiro
,ec03,smoke,fumaça
,ec9a,smooth,suave
,ebf5,Smyrna,Esmirna
,e30c,snake,serpente
,ebfb,snow,neve
,ea8e,Sodom,Sodoma
,e268,soft,suave
,e15b,soil,solo
,e158,sojourner,peregrino
,e12f,soldier,soldado
,ea32,Solomon,Salomão
,e29b,some ,alguns
,e004,son,filho
,e352,Son_of_Man,Filho_do_Homem
,e0e2,song,canção
,e005,sons,filhos
,ec20,Sopater,Sópatro
,ec8c,sorcery,feitiçaria
,ec20,Sosipater,Sosípatro
,eb3c,Sosthenes,Sóstenes
,e10f,soul,alma
,ebe9,sound,som
,ea31,south,sul
,e07d,sow,semear
,e133,sower,semeador
,ebd6,Spain,Espanha
,e03f,speak,falar
,e32a,spend,passar
,ecfe,spice,apimentar
,e187,spirit,espírito
,e048,spit,cuspir
,e326,split,dividido
,ea18,sponge,esponja
,ed01,spot,sitio
,ed07,spy,espião
,ebd7,Stachys,Estáquis
,e14c,staff,pessoal
,e0d9,stair,escada
,e32c,stand,ficar_de_pé
,e0c3,star,estrela
,e231,start,começar
,e83b,stay,estada
,e07b,steal,roubar
,ea01,stem,haste
,ebea,Stephanas,Estéfanas
,eb6b,Stephen,Estêvão
,e266,stern,severo
,eca7,stern_words,palavras_severas
,e07c,stewardship,mordomia
,e398,stick,vara
,ec06,Stoic,estóico
 ,e0c8,stomach,estômago
,e073,stop,parar
,ec43,storehouse,armazém
,e27c,storm,tempestade
,e22d,story,história
,e313,straight,direito
,e069,stranger,desconhecido
,eb33,strangled,estrangulado
,e30b,stream,corrente
,e31c,stretch,esticar
,ecc7,string,corda
,e08a,strong,forte
,e257,stumble,tropeçar
,ea27,stumbling_block,predra_de_tropeço
,e222,suffer,sofrer
,e222,suffering,sofrimento
,e0c4,summer,verão
,e15f,sun,sol
,e161,sundown,pôr_do_sol
,ec7c,Susanna,Suzana
,e30d,sweet,doce
,e282,sword,espada
,e0b9,synagogue,sinagoga
,ece6,Syntyche,Síntique
,ec1c,Syracuse,Siracusa
,e342,Syria,Síria
,eb32,tabernacle,tabernáculo
,e280,table,mesa
,ecd6,tail,cauda
,e088,take,tomar
,ea4e,Tamar,Tamar
,ec30,Tarsus,Tarso
,ea07,taste,provar
,e02b,tax,imposto
,e12a,tax_collector,coletor_de_imposto
,e04c,teach,ensinar
,e12b,teacher,professor
,e04c,teaching,ensino
,e0b1,teeth ,dente
,e03d,temple,templo
,e183,tempt,tentado
,e183,temptation,tentação
,e295,ten,dez
,eb32,tent,tenda
,ec7d,Terah_man           ,Tera
,ebee,Tertius,Tércio
,eb9b,Tertullus,Tértulo
,ec21,test,teste
,e22e,testimony,testemunho
,e37b,Thaddaeus,Tadeu
,e20e,thank,graças
,e184,that,aquele
,e125,them,eles
,eb67,Theophilus,Teófilo
,e066,therefore,portanto
,eb12,Thessalonica,Tessalônica
,eb71,Theudas,Teudas
,e125,they,eles
,e0e9,thief,ladrão
,ed0d,thigh,coxa
,e105,thing,coisa
,e06c,think,pensar
,e06c,think_opinion,pensar_opinião
,e06c,think_wonder,pensar_maravilha
,eccf,thirst,sede
,eccf,thirsty,sedento
,e226,this,esta
,e363,Thomas,Tomé
,e27b,thorn,espinho
,e06c,thought,pensamento
,e296,thousand,mil
,e28e,three,três
,ea39,threshing,debulha
,ec42,threshing_floor,eira
,ec84,throne,trono
,e10b,through,através
,e327,throw,lançar
,e044,thunder,trovão
,eb52,Thyatira,Tiatira
,ebb0,Tiberias_city       ,Tiberíades
,ec3d,Tiberius_man        ,Tibério
,e30e,tie,gravata
,e36c,Timaeus,Timeu
,e16a,time,tempo
,e049,times,tempos
,ec96,Timon,Timão
,ec02,Timothy,Timóteo
,ed0f,tithe,dízimo
,eb38,Titus,Tito
,e318,to,para
,e147,to_clothe,vestir
,e07d,to_plant,plantar
,e126,together_people,pessoas_juntas
,e108,together_things,coisas_juntas
 ,e178,tomb,túmulo
,e045,tongue,língua
,eb34,tool,ferramenta
,e10c,touch,tocar
,e30f,tower,torre
,ec3f,Trachonitis,Traconites
,e31f,transfiguration,transfiguração
,e31f,transfigure,transfigurar
,e381,travel,viagem
,e244,tree,árvore
,ec87,trial,provação
,ea81,tribe,tribu
,e03e,tribulation,tribulação
,e381,trip,viagem
,eb14,triumph,triunfo
,ec0b,Troas,Trôade
,eb1e,Trophimus,Trófimo
,e333,trouble,problema
,e09c,true ,verdadeiro
,ea79,trumpet,trompete
,e023,trust,confiar_em
,e09c,truth,verdade
,eb94,try,experimentar
,ebd8,Tryphaena,Trifena
,ebd9,Tryphosa,Trifosa
,e31e,turn,virar
,ec1b,twin,gêmeo
,e28d,two,dois
,ecbb,Tychicus,Tíquico
,ed00,type,tipo
,eb3f,Tyrannus,Tirano
,e33b,Tyre,Tiro
,e194,unbelief,incredulidade
,e10a,under,debaixo
,e063,understand,entender
,e063,understanding,entendimento
,e297,unity,unidade
,e043,unleavened,não_levedado
,e08f,unrighteous,injusto
,e08f,unrighteousness,injustiça
,e37f,untie,desatar
,e16c,until,até
,e315,up,acima
,ebda,Urbanus,Urbano
,ea46,Uriah,Urias
,e167,us,nos
,e08d,use,usar
,e08d,useful,útil
,e190,useless,inútil
,ea5f,Uzziah,Uzias
,eba7,valley,vale
,e09b,value,valor
,e0b4,vendor,vendedor
,ed0c,vengeance,vingança
,e211,very,muito
,eb14,victory,vitória
,e19a,village,vila
,ec91,vine,vinho
,e27f,vineyard,vinhedo
,ea7e,virgin,virgem
,ea80,vision,visão
,e25a,visit,visita
,e042,voice,voz
 ,e391,waist,cintura
,ea11,wait,esperar
,e256,walk,caminhar
,e288,wall,parede
,e020,want,quer
,e283,war,guerra
,e19e,warn,advertir
,e08b,wash,lavar
,e0a8,watchman,guarda
,e23a,watchtower,atalaia
,e247,water,água
,e328,wave,onda
,e23c,way,caminho
,e167,we,nós
,ea24,weak,fraco
,e029,wealth,riqueza
,e029,wealthy,rico
,ebfe,weary,cansado
,e011,wedding,casamento
,ebb2,week,semana
,e0e6,weigh,pesar
,e0e6,weight,peso
,ebb3,well,bem
,ea89,west,oeste
,e247,wet,molhado
,e109,what,o_que
,e279,wheat,trigo
,e16a,when,quando
,e15a,where,onde
,e310,whip,chicote
,e186,whisper,sussurro
,e285,white,branco
,e1a1,who,quem
,e251,whole,completo
,e067,why,porque
,ecc4,wide,amplo
,e016,widow,viúva
,e014,wife,esposa
,e17e,wild ,selvagem
,e156,wilderness,selva
,e020,will,vai
,e220,wind,vento
,e311,window,janela
,e275,wine,vinho
,eb7d,wing,asa
,eb7d,wings,asas
,ec41,winnowing_fork,garfo_de_tração
,e16b,winter,inverno
,e064,wisdom,sabedoria
,e064,wise,sábio
,e24c,with,com
,e22e,witness,testimunha
,e008,woman,mulher
,e244,wood,madeira
,ebfa,wool,lã
,ebb4,word,palavra
,ebb8,Word,Palavra
,e22c,Word_of_God,Palavra_de_Deus
,e08c,work,trabalho
,e129,world,mundo
,ea06,worm,minhoca
,ecd3,Wormwood,absinto
,e056,worry,preocupação
,e182,worse,pior
,e04b,worship,adoração
,e09b,worth,vale_a_pena
,e09b,worthy,digno
,ea19,wrap,envolver
,e02a,wrath_of_God,ira_de_Deus
,e29c,write,escrever
,e12c,writer,escritor
,ea02,wrong,errado
,e0c7,Yahweh,Yahweh_Jeová
,e15e,year,ano
,ecdb,yellow,amarelo
,e09a,yes,sim
,eb09,yoke,jugo
,e314,you,você
,e0f1,young,jovem
,ec7e,Zacchaeus,Zaqueu
,ea6d,Zadok,Zadoque
,ec7f,Zarephath,Sarepta
,e359,Zebedee,Zebedeu
,ea3f,Zebulun,Zebulom
,ea98,Zechariah,Zacarias
,ed09,Zenas,Zenas
,ea4d,Zerah,Zera
,e28b,zero,zero
,ea69,Zerubbabel,Zorobabel
,eb2d,Zeus,Júpiter
,e37e,period,period
,e390,pos,pos
,e390,*,*
,ed11,pn,pn
